YM,GROUP,유지,유입,이탈,전월유효회원,당월유효회원,순증,유지율,유입률,이탈률,순증률
202501,VIP,50560,13378,12868,63428,63938,510,0.797124298417103,0.210916314561392,0.202875701582897,0.0080406129784953
202501,일반,3101999,38006,36092,3138091,3140005,1914,0.988498740157631,0.0121111847935576,0.0115012598423691,0.000609924951188477
202502,VIP,54566,9607,9219,63785,64173,388,0.85546758642314,0.150615348436153,0.14453241357686,0.00608293485929294
202502,일반,3157779,29801,28423,3186202,3187580,1378,0.991079347762634,0.00935314207950406,0.00892065223736599,0.000432489842138069
202503,VIP,54857,9267,8930,63787,64124,337,0.860002821891608,0.145280386285607,0.139997178108392,0.00528320817721479
202503,일반,3201518,29419,28092,3229610,3230937,1327,0.991301736122937,0.00910914940194017,0.00869826387706256,0.000410885524877617
202504,VIP,53535,9961,9566,63101,63496,395,0.848401768593208,0.157858037115101,0.151598231406792,0.0062598057083089
202504,일반,3253613,33405,31851,3285464,3287018,1554,0.990305478921699,0.0101675136297339,0.00969452107830127,0.000472992551432613
202505,VIP,52705,10161,9800,62505,62866,361,0.84321254299656,0.162562994960403,0.15678745700344,0.00577553795696344
202505,일반,3301681,33196,32051,3333732,3334877,1145,0.990385849852358,0.00995760906995523,0.00961415014764234,0.000343458922312891
202506,VIP,52934,9819,9504,62438,62753,315,0.847785002722701,0.157260001921907,0.152214997277299,0.00504500464460745
202506,일반,3354630,31783,30773,3385403,3386413,1010,0.990910092535512,0.00938824713040072,0.00908990746448798,0.000298339665912744
202507,VIP,53766,8651,8358,62124,62417,293,0.865462623140815,0.139253750563389,0.134537376859185,0.00471637370420449
202507,일반,3411020,28228,27255,3438275,3439248,973,0.992073059891952,0.00820993085195338,0.00792694010804837,0.000282990743905011
202508,VIP,54938,7164,0,54938,62102,7164,1,0.130401543558193,0,0.130401543558193
202508,일반,3464233,23530,0,3464233,3487763,23530,1,0.00679226830296923,0,0.00679226830296923
202509,VIP,55091,7006,6776,61867,62097,230,0.890474728045646,0.113242924337692,0.109525271954354,0.00371765238333845
202509,일반,3509570,22419,21575,3531145,3531989,844,0.993890083811342,0.00634893214523901,0.00610991618865835,0.000239015956580656
202510,VIP,53061,8958,8673,61734,62019,285,0.859510156477792,0.14510642433667,0.140489843522208,0.00461658081446205
202510,일반,3544012,28680,27664,3571676,3572692,1016,0.992254616600162,0.00802984369242899,0.00774538339983806,0.000284460292590929
202511,VIP,50217,11656,11321,61538,61873,335,0.816032370242777,0.189411420585654,0.183967629757223,0.00544379082843121
202511,일반,3580773,37338,35852,3616625,3618111,1486,0.990086890401963,0.0103239899077178,0.00991310959803684,0.000410880309680987
202512,VIP,49083,12895,12502,61585,61978,393,0.796996021758545,0.209385402289519,0.203003978241455,0.00638142404806365
202512,일반,3625384,40865,39047,3664431,3666249,1818,0.989344321123798,0.0111517995563295,0.0106556788762021,0.00049612068012742
202601,VIP,48607,13279,12922,61529,61886,357,0.789985210226072,0.215816931853272,0.210014789773928,0.0058021420793447
202601,일반,3671525,36562,35021,3706546,3708087,1541,0.990551580905781,0.00986417003862896,0.00944841909421871,0.000415750944410241
202602,VIP,51919,10149,9879,61798,62068,270,0.840140457619988,0.164228615812809,0.159859542380012,0.00436907343279718
202602,일반,3714652,31886,30685,3745337,3746538,1201,0.991807145792221,0.00851351961118586,0.0081928542077789,0.000320665403406956
